date,weighted,close,high,low,open,volume
2018-12-03 9:12,109.37,107.21,115.12,104.74,114.76,14857431.87
2018-12-04 9:12,108.74,108.61,112,104.78,107.21,11932934.91
2018-12-05 9:12,104.03,100.71,109.37,99.5,108.61,17146191.6
2018-12-06 9:12,96.55,89.25,102.85,88.92,100.71,31842802.29
2018-12-07 9:12,87.2,92.45,96.86,81.02,89.25,45968256.23
2018-12-08 9:12,90.24,89.99,97.52,84,92.45,21850090.46
2018-12-09 9:12,93.95,92.79,98.3,88.15,89.99,16912462.25
2018-12-10 9:12,90.34,89.23,94.62,87.42,92.79,11844457.46
2018-12-11 9:12,87.54,86.96,91.03,85.15,89.23,10550541.78
2018-12-12 9:12,89.05,89.09,91,86.06,86.96,10103816.2
2018-12-13 9:12,86.9,85.35,90.25,83.48,89.09,12333682.97
2018-12-14 9:12,83.73,83,85.98,80.6,85.35,12594001.05
2018-12-15 9:12,82.59,83.03,84.29,81,83,8932391.48
2018-12-16 9:12,85.27,83.74,86.72,82.82,83.03,7933834.73
2018-12-17 9:12,91.34,93.79,96.74,83.51,83.74,22906704.11
2018-12-18 9:12,94.73,101,101.5,91.55,93.79,18366822.86
2018-12-19 9:12,103.08,99.34,107.88,98.16,101,36140501.3
2018-12-20 9:12,110.39,114.6,119,98.5,99.34,36343401.07
2018-12-21 9:12,112.69,107.74,120,105.3,114.6,27081502.1
2018-12-22 9:12,110.87,116.09,116.3,105.5,107.74,13084739
2018-12-23 9:12,126.95,129.61,133,116.01,116.09,41373109.44
2018-12-24 9:12,144.5,139.03,159.51,129.53,129.61,86341703
2018-12-25 9:12,128.06,128.82,140.26,122.15,139.03,46035575.68
2018-12-26 9:12,130.06,130.47,136.72,123.54,128.82,26514226.86
2018-12-27 9:12,119.89,114.63,131.78,112.26,130.47,31008710.67
2018-12-28 9:12,127.97,136.82,138.58,113.31,114.63,41814965.21
2018-12-29 9:12,138.25,134.15,147.3,131.72,136.82,35179842.41
2018-12-30 9:12,135.72,138.78,140.64,128.3,134.15,27888935.27
2018-12-31 9:12,133.64,130.53,138.9,128.5,138.78,22097680.63
2019-01-01 9:01,134.8,139.75,140.9,129.55,130.53,20946906.89
2019-01-02 9:01,148.58,153.5,156.69,138.75,139.75,34569353.19
2019-01-03 9:01,149.21,147.23,154.44,144.49,153.5,28670970.4
2019-01-04 9:01,150.95,153.24,155.51,145.14,147.23,32602336.5
2019-01-05 9:01,157.29,154.21,160.61,152.92,153.24,31938001.22
2019-01-06 9:01,153.94,155.92,159.58,148.5,154.21,25664451.41
2019-01-07 9:01,152.99,150.62,157.15,148.59,155.92,21295248.95
2019-01-08 9:01,149.6,148.97,152.9,146.71,150.62,18025156.2
2019-01-09 9:01,150.41,149.5,152.88,148.36,148.97,14035911.56
2019-01-10 9:01,131.5,126.41,150.9,122.15,149.5,41297811.41
2019-01-11 9:01,125.89,125.83,128.84,121.74,126.41,19658728.86
2019-01-12 9:01,125.44,124.59,127.24,123.4,125.83,10860538.51
2019-01-13 9:01,118.14,115.55,125.21,113.5,124.59,15273656.5
2019-01-14 9:01,124.74,128.37,131.7,115.34,115.55,24379145.56
2019-01-15 9:01,123.84,120.06,130.61,116.91,128.37,23596292.97
2019-01-16 9:01,122.05,122.12,127.6,119,120.06,17419048.09
2019-01-17 9:01,121.03,122.55,123.83,117.12,122.12,13712411.91
2019-01-18 9:01,120.52,119.53,122.88,118.18,122.55,7841060.99
2019-01-19 9:01,123.75,123.17,126.3,119.53,119.53,10514399.35
2019-01-20 9:01,118.93,117.43,123.7,115.7,123.17,10407691.29
2019-01-21 9:01,116.2,115.86,118.02,113.68,117.43,9253637.46
2019-01-22 9:01,116.58,118.1,119.41,110.86,115.86,13100917.61
2019-01-23 9:01,117.23,116.55,118.9,115.02,118.1,7036946.69
2019-01-24 9:01,115.85,116.4,117.11,113.62,116.55,6734058.67
2019-01-25 9:01,115.55,114.95,117.09,114.04,116.4,8751981.6
2019-01-26 9:01,115.74,115.01,117.47,114.78,114.95,4802290
2019-01-27 9:01,113.35,111.35,115.45,110.3,115.01,7009092.55
2019-01-28 9:01,105.36,105.47,112.1,100.9,111.35,17011109.49
2019-01-29 9:01,104.31,104.02,105.98,102.16,105.47,7957296.49
2019-01-30 9:01,106.77,107.61,109.45,102.9,104.02,11618524.08
2019-01-31 9:01,106.9,105.79,109.97,104.83,107.61,8835050.51
2019-02-01 9:02,105.29,105.88,107.69,103,105.79,9064660.56
2019-02-02 9:02,107.03,109.3,109.98,105.16,105.88,5990001.2
2019-02-03 9:02,107.08,105.94,110,104.52,109.3,6714716.27
2019-02-04 9:02,106.25,106.08,107.85,105.29,105.94,4812437.9
2019-02-05 9:02,105.87,106,106.5,105.08,106.08,4227740.74
2019-02-06 9:02,102.64,103.36,106.31,100.15,106,9771491.95
2019-02-07 9:02,103.69,103.21,104.77,102.75,103.36,4814451.44
2019-02-08 9:02,112.26,117.98,122,102.29,103.21,23550238.26
2019-02-09 9:02,117.81,118.06,119.77,116.55,117.98,7714412.45
2019-02-10 9:02,119.72,123.94,125.28,115.04,118.06,10524589.78
2019-02-11 9:02,120.1,119.55,124.11,118.27,123.94,14506668.41
2019-02-12 9:02,119.68,120.82,122.3,117,119.55,11817549.12
2019-02-13 9:02,121.49,120.74,125,119.51,120.82,10363670.07
2019-02-14 9:02,120.93,119.39,123.22,118.73,120.74,8833930.38
2019-02-15 9:02,120.85,120.42,123.57,119.13,119.39,7049612.2
2019-02-16 9:02,121.73,121.56,123.6,120.42,120.42,4413185.05
2019-02-17 9:02,127.61,132.34,134.14,121.38,121.56,23211216
2019-02-18 9:02,139.76,144.56,147.8,131.1,132.34,43193605.47
2019-02-19 9:02,145.86,142.69,149.47,142.46,144.56,24386570.28
2019-02-20 9:02,144.07,147.19,148.4,138.65,142.69,19164956.95
2019-02-21 9:02,144.68,144.21,148.6,141.76,147.19,15616218.08
2019-02-22 9:02,145.95,146.68,147.5,142.26,144.21,11920853.02
2019-02-23 9:02,154.01,157.56,159.91,144.89,146.68,24118707.38
2019-02-24 9:02,146.19,131.76,165.62,131.23,157.56,42273182.44
2019-02-25 9:02,137.2,137.64,141.09,131.03,131.76,20876846.84
2019-02-26 9:02,135.84,135.76,138.85,133.03,137.64,12073024.91
2019-02-27 9:02,133.27,134.46,140,125.77,135.76,18163540.51
2019-02-28 9:02,135.5,134.48,139,131.66,134.46,15075301.11
2019-03-01 9:03,135.58,134.72,137.53,133.52,134.48,11709499.48
2019-03-02 9:03,132.33,132.32,135.39,128.95,134.72,9072202.32
2019-03-03 9:03,131.08,129.78,134.41,127.49,132.32,7131700.93
2019-03-04 9:03,126.74,125.24,130.22,122.75,129.78,17703594.59
2019-03-05 9:03,132.3,136.3,137.49,124.78,125.24,15967478.21
2019-03-06 9:03,136.48,137,140,131.99,136.3,16446234.01
2019-03-07 9:03,137.24,136.29,139.68,134.84,137,10417753.2
2019-03-08 9:03,134.81,132.75,138.6,130.13,136.29,13500861.15
2019-03-09 9:03,135.64,136.41,138.01,132.09,132.75,9211227.33
2019-03-10 9:03,134.99,134.66,136.73,133.42,136.41,5105669.45
2019-03-11 9:03,132.26,132.05,135.37,130.57,134.66,7351410.99
2019-03-12 9:03,131.51,132.8,134.3,127.19,132.05,13712247.86
2019-03-13 9:03,131.5,131.16,132.94,130.2,132.8,5867673.77
2019-03-14 9:03,131.53,131.4,135.09,128.9,131.16,5858434.65
2019-03-15 9:03,134.72,135.99,136.91,131.4,131.4,11913954.98
2019-03-16 9:03,140.3,140.48,147,135.98,135.99,18625776.04
2019-03-17 9:03,138.14,138.07,140.56,136.3,140.48,6554731.06
2019-03-18 9:03,137.83,137.01,141.3,135.67,138.07,10481323.66
2019-03-19 9:03,137.51,138.15,138.65,136.32,137.01,6712216.79
2019-03-20 9:03,137.65,138.73,139.33,135.4,138.15,6994221.06
2019-03-21 9:03,135.91,134.41,139.14,132.21,138.73,10958042.09
2019-03-22 9:03,135.9,135.63,136.93,134.1,134.41,5756724.07
2019-03-23 9:03,136.32,136.52,137.5,135.18,135.63,4202592.23
