"DateTime","Number of sales","Number of sales"
"2022-04-28 23:59:59",139,139
"2022-04-29 23:59:59",335,335
"2022-04-30 23:59:59",283,283
"2022-05-01 23:59:59",358,358
"2022-05-02 23:59:59",383,383
"2022-05-04 00:00:00",155,155
"2022-05-05 00:00:00",128,128
"2022-05-06 00:00:00",141,141
"2022-05-07 00:00:00",134,134
"2022-05-08 00:00:00",94,94
"2022-05-09 00:00:00",217,217
"2022-05-10 00:00:00",284,284
"2022-05-11 00:00:00",135,135
"2022-05-12 00:00:00",178,178
"2022-05-13 00:00:00",219,219
"2022-05-14 00:00:00",86,86
"2022-05-15 00:00:00",52,52
